Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
3	mat	-7.109032459	0	200	1	200	210.4630743	-6.548048372	0.054281979	4.292123036	10
3	mat	-6.622049264	1	200	1	200	210.4630743	-6.082146701	0.083117666	3.468592893	10
3	mat	-6.13506607	2	202	1	200	212.3153713	-5.61624503	0.128514448	2.789484953	10
3	mat	-5.648082876	3	202	1	200	212.3153713	-5.15034336	0.200721134	2.232047585	10
3	mat	-5.161099682	4	204	1	200	213.4768946	-4.684441689	0.316752057	1.776807089	10
3	mat	-4.674116488	5	204	1	200	213.4768946	-4.218540018	0.505303257	1.406772762	8.618452486
3	mat	-4.187133294	6	206	1	200.7326898	211.9197791	-3.752638348	0.816017097	1.10700701	6.781967613
3	mat	-3.593464882	7	206	1	200.7326898	211.9197791	-3.184669867	1.490761726	0.819022595	5.017659927
3	mat	-3.149307316	8	208	1	204.433905	211.8112597	-2.759739901	2.361060589	0.650798336	3.987050851
3	mat	-2.833281219	9	208	1	204.433905	211.8112597	-2.457394587	3.265377886	0.553392509	3.390303805
3	mat	-2.585202869	10	210	1	207.3582216	213.3533858	-2.22005556	4.17703881	0.48928933	2.997582091
3	mat	-2.378764025	11	212	1	209.5507584	214.7847861	-2.022553462	5.073726974	0.443952446	2.719830214
3	mat	-2.200113712	12	212	1	209.5507584	214.7847861	-1.851636929	5.937612959	0.410387437	2.514197546
3	mat	-2.041056613	13	214	1	211.8368	216.428797	-1.699465418	6.75489219	0.384760773	2.357198357
3	mat	-1.896326511	14	214	1	211.8368	216.428797	-1.561000689	7.515084815	0.364781712	2.234798635
3	mat	-1.762325977	15	216	1	214.0889098	218.2217088	-1.432801044	8.210305175	0.34899592	2.138088564
3	mat	-1.636485956	16	216	1	214.0889098	218.2217088	-1.312408642	8.834607647	0.336439026	2.061160007
3	mat	-1.516871609	17	216	1	214.0889098	218.2217088	-1.197972406	9.383663817	0.326447825	1.999949919
3	mat	-1.401979588	18	218	1	216.3647591	221.0786555	-1.088054066	9.854286972	0.318557179	1.951608666
3	mat	-1.290594105	19	218	1	216.3647591	221.0786555	-0.981490464	10.24412702	0.312437046	2.168952872
3	mat	-1.181697135	20	218	1	216.3647591	221.0786555	-0.877307649	10.55139003	0.307854256	2.950283013
3	mat	-1.074397686	21	220	2	218.0773813	226.3536022	-0.774653198	10.77466119	0.3046479	3.738330268
3	mat	-0.967891093	22	220	2	218.0773813	226.3536022	-0.67275728	10.91278982	0.30271372	4.537890569
3	mat	-0.861420731	23	224	2	219.0662517	229.7742945	-0.570896025	10.96492976	0.301993137	5.354021397
3	mat	-0.754242727	24	226	2	219.7199726	232.1043908	-0.468357761	10.93070247	0.302465582	6.192209095
3	mat	-0.645602173	25	228	2	221.3258638	234.4922239	-0.364420262	10.81047018	0.304142918	6.583180045
3	mat	-0.53470109	26	230	2	223.6630685	236.9559319	-0.258320091	10.6056906	0.307065146	6.646431725
3	mat	-0.420673179	27	232	2	226.0396057	239.5156679	-0.149228453	10.31929495	0.311297037	6.738031104
3	mat	-0.302535606	28	236	2	228.4748414	241.8137945	-0.036205061	9.955940384	0.31692672	6.669476554
3	mat	-0.179172423	29	238	2	230.9905258	244.1483517	0.081817725	9.522149243	0.324065283	6.578912932
3	mat	-0.049244761	30	240	3	233.6125424	246.629893	0.206120813	9.025843309	0.332855782	6.508675335
3	mat	0.0888737	31	244	3	236.3717988	249.2910608	0.33826012	8.475300884	0.343496596	6.459630978
3	mat	0.237247379	32	246	3	239.3060958	252.1744746	0.480210696	7.876881845	0.356305753	6.434189414
3	mat	0.398622249	33	248	3	242.034932	255.339746	0.634599641	7.231339696	0.37186955	6.652406979
3	mat	0.576945839	34	252	3	244.8761333	258.8786373	0.805203595	6.528673751	0.391369986	7.001251984
3	mat	0.778369406	35	256	3	248.0162855	261.6722037	0.997907527	5.743656742	0.417259047	6.82795909
3	mat	1.013646666	36	260	4	251.5550011	264.4425472	1.222999624	4.836240305	0.454722102	6.443773012
3	mat	1.304082901	37	262	4	255.6661263	268.008424	1.500862862	3.765316094	0.515346439	6.171148822
3	mat	1.70038024	38	266	4	260.4025955	273.1957842	1.880004472	2.521569485	0.629744713	6.39659434
3	mat	2.373645945	39	274	4	264.2733302	280	2.524124476	1.176516155	0.921936592	9.364515913
3	mat	4	40	280	4	270	280	4.080073594	0.187651568	2.308468228	10
