vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
AB	AB	Reading	1	1	Below	0	75	0
AB	AB	Reading	1	2	Acceptable	76	249	0
AB	AB	Reading	1	3	Excellence	250	1400	0
AB	AB	Reading	2	1	Below	0	149	0
AB	AB	Reading	2	2	Acceptable	150	415	0
AB	AB	Reading	2	3	Excellence	416	1400	0
AB	AB	Reading	3	1	Below	0	220	1
AB	AB	Reading	3	2	Acceptable	221	538	1
AB	AB	Reading	3	3	Excellence	539	1400	1
AB	AB	Reading	4	1	Below	0	292	1
AB	AB	Reading	4	2	Acceptable	293	635	1
AB	AB	Reading	4	3	Excellence	636	1400	1
AB	AB	Reading	5	1	Below	0	359	1
AB	AB	Reading	5	2	Acceptable	360	807	1
AB	AB	Reading	5	3	Excellence	808	1400	1
AB	AB	Reading	6	1	Below	0	421	1
AB	AB	Reading	6	2	Acceptable	422	952	1
AB	AB	Reading	6	3	Excellence	953	1400	1
AB	AB	Reading	7	1	Below	0	490	1
AB	AB	Reading	7	2	Acceptable	491	1153	1
AB	AB	Reading	7	3	Excellence	1154	1400	1
AB	AB	Reading	8	1	Below	0	547	1
AB	AB	Reading	8	2	Acceptable	548	1260	1
AB	AB	Reading	8	3	Excellence	1261	1400	1
AB	AB	Reading	9	1	Below	0	619	1
AB	AB	Reading	9	2	Acceptable	620	1296	1
AB	AB	Reading	9	3	Excellence	1297	1400	1
AB	AB	Reading	10	1	Below	0	626	0
AB	AB	Reading	10	2	Acceptable	627	1316	0
AB	AB	Reading	10	3	Excellence	1317	1400	0
AB	AB	Reading	11	1	Below	0	653	0
AB	AB	Reading	11	2	Acceptable	654	1323	0
AB	AB	Reading	11	3	Excellence	1324	1400	0
AB	AB	Reading	12	1	Below	0	681	0
AB	AB	Reading	12	2	Acceptable	682	1333	0
AB	AB	Reading	12	3	Excellence	1334	1400	0
AK	AK	Math	1	1	Far Below	0	305	0
AK	AK	Math	1	2	Below	306	354	0
AK	AK	Math	1	3	Proficient	355	439	0
AK	AK	Math	1	4	Advanced	440	1400	0
AK	AK	Math	2	1	Far Below	0	429	0
AK	AK	Math	2	2	Below	430	473	0
AK	AK	Math	2	3	Proficient	474	549	0
AK	AK	Math	2	4	Advanced	550	1400	0
AK	AK	Math	3	1	Far Below	0	512	1
AK	AK	Math	3	2	Below	513	563	1
AK	AK	Math	3	3	Proficient	564	637	1
AK	AK	Math	3	4	Advanced	638	1400	1
AK	AK	Math	4	1	Far Below	0	577	1
AK	AK	Math	4	2	Below	578	634	1
AK	AK	Math	4	3	Proficient	635	711	1
AK	AK	Math	4	4	Advanced	712	1400	1
AK	AK	Math	5	1	Far Below	0	604	1
AK	AK	Math	5	2	Below	605	686	1
AK	AK	Math	5	3	Proficient	687	762	1
AK	AK	Math	5	4	Advanced	763	1400	1
AK	AK	Math	6	1	Far Below	0	656	0
AK	AK	Math	6	2	Below	657	740	0
AK	AK	Math	6	3	Proficient	741	821	0
AK	AK	Math	6	4	Advanced	822	1400	0
AK	AK	Math	7	1	Far Below	0	673	0
AK	AK	Math	7	2	Below	674	767	0
AK	AK	Math	7	3	Proficient	768	854	0
AK	AK	Math	7	4	Advanced	855	1400	0
AK	AK	Math	8	1	Far Below	0	695	0
AK	AK	Math	8	2	Below	696	792	0
AK	AK	Math	8	3	Proficient	793	890	0
AK	AK	Math	8	4	Advanced	891	1400	0
AK	AK	Math	9	1	Far Below	0	705	0
AK	AK	Math	9	2	Below	706	801	0
AK	AK	Math	9	3	Proficient	802	894	0
AK	AK	Math	9	4	Advanced	895	1400	0
AK	AK	Math	10	1	Far Below	0	707	0
AK	AK	Math	10	2	Below	708	805	0
AK	AK	Math	10	3	Proficient	806	899	0
AK	AK	Math	10	4	Advanced	900	1400	0
AK	AK	Math	11	1	Far Below	0	728	0
AK	AK	Math	11	2	Below	729	820	0
AK	AK	Math	11	3	Proficient	821	917	0
AK	AK	Math	11	4	Advanced	918	1400	0
